country,1990,1995,2000,2005,2010
Australia,17553.37684,18690.43658,21708.03726,23929.1644,25190.83986
Fiji,1833.184364,1955.293857,2074.747318,2308.158256,2218.146955
French Polynesia,14003.26486,13608.05196,14507.54146,,
Kiribati,670.2638547,661.54344,812.2820768,785.373675,713.5624963
Marshall Islands,2137.689731,2581.130408,2127.485462,2368.148833,2437.282445
"Micronesia, Fed. Sts.",1894.105464,2189.552,2177.589076,2196.247196,2134.037162
New Caledonia,13562.65255,13601.45546,12579.59511,,
New Zealand,11627.10652,12291.83756,13375.78052,15171.59429,14629.2181
Palau,,6355.627,6251.982057,6429.585897,5756.810516
Papua New Guinea,566.8707368,754.7246551,654.6687817,626.3082483,744.2105476
Samoa,1191.78335,1204.352769,1391.214354,1742.154491,1769.565011
Solomon Islands,1101.247994,1403.803165,1064.514687,975.6054302,1143.787545
Tonga,1493.743315,1785.210648,1926.004579,2115.027069,2069.226162
Tuvalu,1128.077582,1278.696261,1458.949625,1426.191345,1559.983698
Vanuatu,1327.356581,1358.46581,1469.761787,1355.821723,1522.38404
